district,White change,Black change,AIAN change,Asian change,NHPI change,Other change,Two+ change,White pct,Black pct,AIAN pct,Asian pct,NHPI pct,Other pct,Two+ pct
089,-94,-38,-2,-16,0,-66,-39,-0.541,-0.233,-0.205,-0.538,0.0,-0.336,-0.433
090,773,3,24,129,0,309,167,1.338,0.014,1.539,1.335,0.0,0.99,0.995
092,-679,35,-22,-113,0,-243,-128,-18.532,3.25,-42.308,-21.689,0.0,-19.597,-13.719
