district,Total units (2022 lines),Occupied (2022 lines),Vacant (2022 lines),Total units (2026 lines),Occupied (2026 lines),Vacant (2026 lines)
089,27931,26202,1729,27838,26109,1729
090,54273,51271,3002,54669,51668,3001
092,3324,3075,249,3021,2771,250
