GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new,place_share
361190015031009,36,119,001503,1009,27,22,1,0,0,0,4,0,27,5,22,22,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190015022005,36,119,001502,2005,176,141,0,3,15,0,8,9,176,21,155,128,0,3,15,0,0,9,77,67,10,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190015021004,36,119,001502,1004,336,164,73,0,16,0,54,29,336,102,234,143,69,0,16,0,2,4,201,198,3,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190023002018,36,119,002300,2018,39,15,8,0,0,0,11,5,39,18,21,15,6,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190024011011,36,119,002401,1011,118,81,3,0,6,0,9,19,118,23,95,80,1,0,6,0,0,8,53,53,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190024051000,36,119,002405,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190022012013,36,119,002201,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190015031003,36,119,001503,1003,47,31,5,0,5,0,2,4,47,12,35,28,2,0,5,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190014021008,36,119,001402,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,1.000000000000001
361190006022002,36,119,000602,2002,97,22,37,1,7,0,9,21,97,27,70,21,36,0,7,0,0,6,36,32,4,10,0,0,0,0,0,10,0,0,10,089,089,1.0
