district,White (2022 lines),Black (2022 lines),AIAN (2022 lines),Asian (2022 lines),NHPI (2022 lines),Other (2022 lines),Two+ (2022 lines),White (2026 lines),Black (2026 lines),AIAN (2026 lines),Asian (2026 lines),NHPI (2026 lines),Other (2026 lines),Two+ (2026 lines)
089,17361,16335,977,2975,43,19620,9001,17267,16297,975,2959,43,19554,8962
090,57791,20695,1559,9666,48,31224,16785,58564,20698,1583,9795,48,31533,16952
092,3664,1077,52,521,2,1240,933,2985,1112,30,408,2,997,805
