district,Hispanic change,NH White change,NH Black change,NH AIAN change,NH Asian change,NH NHPI change,NH Other change,NH Two+ change,Hispanic pct,NH White pct,NH Black pct,NH AIAN pct,NH Asian pct,NH NHPI pct,NH Other pct,NH Two+ pct
089,-121,-74,-36,-2,-16,0,0,-6,-0.372,-0.522,-0.25,-1.575,-0.552,0.0,0.0,-0.396
090,537,703,2,5,128,0,8,22,0.991,1.367,0.011,2.604,1.348,0.0,0.702,0.686
092,-416,-629,34,-3,-112,0,-8,-16,-17.479,-18.692,3.542,-27.273,-21.663,0.0,-12.698,-8.377
