district,All group quarters (2022 lines),Institutionalized (2022 lines),Noninstitutionalized (2022 lines),All group quarters (2026 lines),Institutionalized (2026 lines),Noninstitutionalized (2026 lines)
089,655,350,305,655,350,305
090,1905,144,1761,1905,144,1761
092,374,256,118,374,256,118
