district,Hispanic (2022 lines),NH White (2022 lines),NH Black (2022 lines),NH AIAN (2022 lines),NH Asian (2022 lines),NH NHPI (2022 lines),NH Other (2022 lines),NH Two+ (2022 lines),Hispanic (2026 lines),NH White (2026 lines),NH Black (2026 lines),NH AIAN (2026 lines),NH Asian (2026 lines),NH NHPI (2026 lines),NH Other (2026 lines),NH Two+ (2026 lines)
089,32520,14178,14427,127,2899,14,630,1517,32399,14104,14391,125,2883,14,630,1511
090,54165,51427,18122,192,9499,18,1140,3205,54702,52130,18124,197,9627,18,1148,3227
092,2380,3365,960,11,517,2,63,191,1964,2736,994,8,405,2,55,175
