district,Hispanic % old,NH White % old,NH Black % old,NH AIAN % old,NH Asian % old,NH NHPI % old,NH Other % old,NH Two+ % old,Hispanic % new,NH White % new,NH Black % new,NH AIAN % new,NH Asian % new,NH NHPI % new,NH Other % new,NH Two+ % new,Hispanic pp change,NH White pp change,NH Black pp change,NH AIAN pp change,NH Asian pp change,NH NHPI pp change,NH Other pp change,NH Two+ pp change
089,33.18,16.59,42.14,0.19,3.06,0.02,1.49,3.32,33.16,16.56,42.19,0.19,3.06,0.03,1.49,3.32,-0.03,-0.02,0.05,-0.0,-0.01,0.0,0.0,0.0
090,39.32,37.33,13.15,0.14,6.89,0.01,0.83,2.33,39.31,37.46,13.02,0.14,6.92,0.01,0.82,2.32,-0.01,0.13,-0.13,0.0,0.02,-0.0,-0.0,-0.01
092,20.0,58.39,8.77,0.08,8.67,0.01,0.71,3.37,19.87,58.43,8.87,0.08,8.66,0.01,0.71,3.38,-0.14,0.03,0.1,-0.0,-0.01,0.0,0.0,0.02
