district,Total units change,Occupied change,Vacant change,Total units pct,Occupied pct,Vacant pct
089,-93,-93,0,-0.16,-0.171,0.0
090,396,397,-1,0.73,0.774,-0.033
092,-300,-301,1,-0.56,-0.59,0.039
