GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new
361190031001005,36,119,003100,1005,226,52,138,3,4,0,12,17,226,34,192,52,129,1,4,0,1,5,73,67,6,65,0,0,0,0,0,65,0,0,65,089,089
361190033001001,36,119,003300,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040011005,36,119,004001,1005,298,31,206,0,1,0,19,41,298,41,257,29,199,0,1,0,3,25,147,147,0,0,0,0,0,0,0,0,0,0,0,089,089
361190031001009,36,119,003100,1009,471,15,384,2,6,0,43,21,471,61,410,14,374,1,6,0,6,9,197,192,5,0,0,0,0,0,0,0,0,0,0,089,089
361190031002004,36,119,003100,2004,213,1,176,0,3,0,27,6,213,34,179,1,162,0,3,0,7,6,82,58,24,0,0,0,0,0,0,0,0,0,0,089,089
361190031002002,36,119,003100,2002,754,11,670,2,2,0,35,34,754,65,689,8,656,2,2,0,0,21,334,300,34,0,0,0,0,0,0,0,0,0,0,089,089
361190032001003,36,119,003200,1003,99,9,60,0,0,0,28,2,99,32,67,9,57,0,0,0,0,1,35,33,2,0,0,0,0,0,0,0,0,0,0,089,089
361190032001008,36,119,003200,1008,220,5,167,0,5,0,31,12,220,39,181,5,161,0,5,0,5,5,102,71,31,0,0,0,0,0,0,0,0,0,0,089,089
361190032001004,36,119,003200,1004,35,0,29,0,0,0,3,3,35,9,26,0,25,0,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,089,089
361190032001007,36,119,003200,1007,163,0,149,0,5,0,1,8,163,4,159,0,149,0,5,0,0,5,65,60,5,0,0,0,0,0,0,0,0,0,0,089,089
